job_id,job_title,company,job_location,date_posted,job_field,job_type,salary,experience,job_position,deadline,job_url
35C78EA5,IT Junior Application Analyst (Free shuttle bus),Techtronic Industries Vietnam Manufacturing Company Limited,Hồ Chí Minh,03/06/2026,CNTT - Phần mềm,Nhân viên chính thức,Cạnh tranh,1 Năm,Nhân viên chính thức,02/07/2026,https://careerviet.vn/vi/tim-viec-lam/it-junior-application-analyst-free-shuttle-bus.35C78EA5.html
35C742E5,Senior AI Engineer,DIGI-TEXX Vietnam,Hồ Chí Minh,03/06/2026,CNTT - Phần mềm,Nhân viên chính thức,Cạnh tranh,5 - 10,Nhân viên,03/07/2026,https://careerviet.vn/vi/tim-viec-lam/senior-ai-engineer.35C742E5.html
35C76379,IT Specialist (Strong at Network),CÔNG TY TNHH CÔNG NGHỆ HUAWEI VIỆT NAM,Hà Nội,04/06/2026,"CNTT - Phần cứng / Mạng, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,2 - 4,Nhân viên,17/06/2026,https://careerviet.vn/vi/tim-viec-lam/it-specialist-strong-at-network.35C76379.html
35C70506,Chuyên viên cao cấp/Chuyên viên chính Quản lý Chất lượng dữ liệu – Khối Công nghệ Thông tin,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,05/06/2026,"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,30 Tr - 60 Tr VND,3 - 5,Nhân viên,05/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-chuyen-vien-chinh-quan-ly-chat-luong-du-lieu-khoi-cong-nghe-thong-tin.35C70506.html
35C74C60,Chuyên viên Quản lý danh mục CNTT,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI (SHBFinance),Hà Nội,05/06/2026,"CNTT - Phần mềm, Tài chính / Đầu tư, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,2 - 3,Nhân viên,05/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-danh-muc-cntt.35C74C60.html
35C704F3,Chuyên viên cao cấp/Chuyên viên chính Phân tích dữ liệu nâng cao (Data Scientist)– Khối Công nghệ thông tin,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,05/06/2026,"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,30 Tr - 60 Tr VND,3 - 5,Nhân viên,05/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-chuyen-vien-chinh-phan-tich-du-lieu-nang-cao-data-scientist-khoi-cong-nghe-thong-tin.35C704F3.html
35C70386,Manufacturing Innovation (MI) Engineer,CÔNG TY TNHH CS BEARING VIỆT NAM,Hồ Chí Minh,05/06/2026,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,13 Tr - 15 Tr VND,2 - 3,Nhân viên,05/07/2026,https://careerviet.vn/vi/tim-viec-lam/manufacturing-innovation-mi-engineer.35C70386.html
35C74F2E,Chuyên viên cao cấp Giải pháp giám sát dịch vụ nội bộ - MVHB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,06/06/2026,CNTT - Phần mềm,Nhân viên chính thức,Cạnh tranh,Trên 3,Nhân viên,06/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-giai-phap-giam-sat-dich-vu-noi-bo-mvhb.35C74F2E.html
35C709A1,Chuyên Viên Phân Tích Định Lượng - Nhóm Quản Lý Rủi Ro Tín Dụng,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,06/06/2026,"Ngân hàng, Tài chính / Đầu tư, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,Trên 3,Nhân viên,06/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-dinh-luong-nhom-quan-ly-rui-ro-tin-dung.35C709A1.html
35C709A5,"Chuyên Viên Phân Tích Định Lượng - Nhóm Phân Tích Rủi Ro TT, TK và LS Trên Sổ Ngân Hàng",NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,06/06/2026,"Ngân hàng, Tài chính / Đầu tư, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,Trên 2,Nhân viên,06/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-dinh-luong-nhom-phan-tich-rui-ro-tt-tk-va-ls-tren-so-ngan-hang.35C709A5.html
35C78744,NHÂN VIÊN KỸ THUẬT VẬN HÀNH SẢN XUẤT (ĐIỆN – CƠ KHÍ – TỰ ĐỘNG HÓA),Công ty Cổ phần Sorbitol Pháp – Việt (SOFAVI),Tây Ninh,07/06/2026,"Cơ khí / Ô tô / Tự động hóa, Điện / Điện tử / Điện lạnh / Điện công nghiệp, CNTT - Phần cứng / Mạng",Nhân viên chính thức,10 Tr - 25 Tr VND,0 - null,Nhân viên,01/07/2026,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-van-hanh-san-xuat-dien-co-khi-tu-dong-hoa.35C78744.html
35C787A7,Trưởng phòng công nghệ thông tin,Công Ty Cổ Phần A25 Hotel,Hà Nội,07/06/2026,"CNTT - Phần mềm, Quản lý điều hành",Nhân viên chính thức,30 Tr - 60 Tr VND,5 - 7,Trưởng nhóm / Giám sát,30/06/2026,https://careerviet.vn/vi/tim-viec-lam/truong-phong-cong-nghe-thong-tin.35C787A7.html
35C70BE4,Programme Officer in Digital Transformation,Văn phòng đại diện Tổ chức Hợp tác Quốc tế Đức GIZ tại Hà Nội,Hà Nội,,"Tiếp thị / Marketing, CNTT - Phần mềm, Thương mại điện tử",,Cạnh tranh,"Minimum 8 years of relevant professional experience, including 3 – 4 years in programme level roles related to DX in education or TVET;",Nhân viên,07/07/2026,https://careerviet.vn/vi/tim-viec-lam/programme-officer-in-digital-transformation.35C70BE4.html
35C79AAC,IT Presales Engineer,EAST SEA ENERGY ENVIRONMENT COMPANY LIMITED,Hồ Chí Minh,08/06/2026,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng, Bán Hàng Kỹ Thuật",Nhân viên chính thức,Cạnh tranh,3 - 5,Nhân viên,10/07/2026,https://careerviet.vn/vi/tim-viec-lam/it-presales-engineer.35C79AAC.html
35C768FB,Chuyên Viên Tích Hợp Nền Tảng Dữ Liệu,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,08/06/2026,"Ngân hàng, CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,Trên 2,Nhân viên,02/06/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tich-hop-nen-tang-du-lieu.35C768FB.html
35C76B1F,Trưởng nhóm Hệ thống dữ liệu (Leader DA),CÔNG TY CỔ PHẦN PHÁT TRIỂN DỊCH VỤ VÀ THƯƠNG MẠI QUỐC AN,Hà Nội,08/06/2026,"CNTT - Phần mềm, Quản lý điều hành, Y tế / Chăm sóc sức khỏe / Thẩm mỹ / Làm đẹp",Nhân viên chính thức,18 Tr - 25 Tr VND,3 - 5,Quản lý,19/06/2026,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-he-thong-du-lieu-leader-da.35C76B1F.html
35C6FF16,Chuyên viên chính/Chuyên viên cao cấp Quản lý chương trình dữ liệu (Data Program Owner) Phòng Quản trị dữ liệu – Khối Công nghệ thông tin,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,02/06/2026,"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,30 Tr - 60 Tr VND,3 - 5,Nhân viên,02/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-quan-ly-chuong-trinh-du-lieu-data-program-owner-phong-quan-tri-du-lieu-khoi-cong-nghe-thong-tin.35C6FF16.html
35C6FEEB,Chuyên viên chính/ Chuyên viên cao cấp Phân tích nghiệp vụ - Khối Công nghệ Thông tin,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,02/06/2026,"Ngân hàng, CNTT - Phần mềm",Nhân viên chính thức,30 Tr - 60 Tr VND,3 - 5,Nhân viên,02/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-phan-tich-nghiep-vu-khoi-cong-nghe-thong-tin.35C6FEEB.html
35C6FEFC,Chuyên viên chính/Chuyên viên cao cấp Giám sát tuân thủ Công nghệ thông tin - Khối Công nghệ thông tin,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,02/06/2026,"Ngân hàng, CNTT - Phần mềm",Nhân viên chính thức,30 Tr - 60 Tr VND,3 - 5,Nhân viên,02/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-giam-sat-tuan-thu-cong-nghe-thong-tin-khoi-cong-nghe-thong-tin.35C6FEFC.html
35C742E2,Network Engineer,DIGI-TEXX Vietnam,Hồ Chí Minh,03/06/2026,CNTT - Phần cứng / Mạng,Nhân viên chính thức,Cạnh tranh,5 - 10,Nhân viên,03/07/2026,https://careerviet.vn/vi/tim-viec-lam/network-engineer.35C742E2.html
35C745DE,"Chuyên gia Quản trị rủi ro dữ liệu cấp 3, Phòng QTRR CNTT và Ngân hàng số, Khối Quản trị rủi ro",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,04/06/2026,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,5 - 7,Trưởng nhóm / Giám sát,04/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-quan-tri-rui-ro-du-lieu-cap-3-phong-qtrr-cntt-va-ngan-hang-so-khoi-quan-tri-rui-ro.35C745DE.html
35C7477B,Quản trị hệ thống/Quản trị mạng,IDC Group,Hà Nội,04/06/2026,"CNTT - Phần cứng / Mạng, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,04/07/2026,https://careerviet.vn/vi/tim-viec-lam/quan-tri-he-thong-quan-tri-mang.35C7477B.html
35C745E7,"Chuyên gia quản trị rủi ro kiến trúc giải pháp cấp 2, Phòng Quản trị rủi ro CNTT và Ngân hàng số, Khối QTRR",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,04/06/2026,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,5 - 7,Trưởng nhóm / Giám sát,04/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-quan-tri-rui-ro-kien-truc-giai-phap-cap-2-phong-quan-tri-rui-ro-cntt-va-ngan-hang-so-khoi-qtrr.35C745E7.html
35C745E2,"CHUYÊN GIA QUẢN TRỊ RỦI RO KIẾN TRÚC HỆ THỐNG CẤP 2 , PHÒNG QTRR CNTT VÀ NGÂN HÀNG SỐ, KHỐI QTRR",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,04/06/2026,"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,3 - 5,Trưởng nhóm / Giám sát,04/07/2026,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-quan-tri-rui-ro-kien-truc-he-thong-cap-2-phong-qtrr-cntt-va-ngan-hang-so-khoi-qtrr.35C745E2.html
